date,open,high,low,close,shares traded,turnover
14-Feb-23,13184.95,13220.15,13093.55,13106.55,35975419,2703.74
15-Feb-23,13099.25,13246.2,13087.4,13235.2,40417269,3434.87
16-Feb-23,13274.3,13316.25,13187,13206.05,32422765,2237.01
17-Feb-23,13153.05,13233,13107.85,13140,26026886,1796.11
20-Feb-23,13165.3,13228.6,13105.35,13177.4,53695750,2078.83
21-Feb-23,13222.45,13227.9,13129.3,13148.75,28696970,1918.36
22-Feb-23,13114.25,13149.5,12973.3,12989.95,34153920,1975.1
23-Feb-23,13018.15,13026.4,12896.25,12982.25,38731280,2090.01
24-Feb-23,13024.5,13037.65,12853.95,12869.1,29637468,1861.5
27-Feb-23,12822.85,12840.9,12566.05,12675.3,41504492,2149.32
28-Feb-23,12714.8,12855.25,12689.4,12731.8,45431988,2796.98
1-Mar-23,12759,12881.95,12755.85,12849.3,31257644,1953.32
2-Mar-23,12874.3,12875.2,12712.35,12738.8,24540310,2029.68
3-Mar-23,12799.9,12834.9,12750.95,12787.05,25788272,1676.66
6-Mar-23,12828.35,12937.15,12821.75,12909.5,40039323,1701.41
8-Mar-23,12882.95,13030.05,12859.25,13019.5,24733707,1955.65
9-Mar-23,13039.9,13059.45,12766.75,12781.2,23061937,1950.01
10-Mar-23,12762.3,12766.2,12692.05,12741.6,30034572,2282.37
13-Mar-23,12714.55,12738.4,12410.1,12456,46398234,2640.26
14-Mar-23,12475.2,12486.05,12310.05,12345.55,48821316,2824.49
15-Mar-23,12461.8,12489.7,12266.6,12282,29239372,1868.35
16-Mar-23,12267,12349.15,12159.9,12304.9,452824322,5165.49
17-Mar-23,12387.35,12424.95,12177.55,12245.95,56110617,2695.95
20-Mar-23,12225.3,12255.45,12025.4,12131.7,63256201,2257.13
21-Mar-23,12165.05,12188.1,12114.45,12141.95,45206068,2017.67
22-Mar-23,12190.1,12266.3,12165.2,12201.35,42515605,1448.25
23-Mar-23,12191.9,12270.9,12153.4,12205.7,38760548,2012.25
24-Mar-23,12196.5,12235.95,12089.1,12113.4,36818388,1696.55
